"order_id","customer_id","order_date","category","amount","status"
1,1,"2025-01-03","electronics","1200.00","completed"
2,2,"2025-01-05","fashion","240.00","completed"
3,3,"2025-01-07","home","340.00","completed"
4,4,"2025-01-10","electronics","980.00","completed"
5,5,"2025-01-15","beauty","120.00","completed"
6,6,"2025-01-20","home","560.00","completed"
7,7,"2025-01-22","fashion","300.00","completed"
8,8,"2025-02-01","electronics","1500.00","completed"
9,1,"2025-02-03","fashion","220.00","completed"
10,2,"2025-02-07","beauty","90.00","completed"
11,9,"2025-02-09","home","400.00","completed"
12,10,"2025-02-14","electronics","2100.00","completed"
13,11,"2025-02-18","fashion","310.00","completed"
14,12,"2025-02-22","home","650.00","completed"
15,3,"2025-03-02","electronics","1700.00","completed"
16,13,"2025-03-05","beauty","140.00","completed"
17,14,"2025-03-10","fashion","280.00","completed"
18,15,"2025-03-14","home","720.00","completed"
19,16,"2025-03-18","electronics","2000.00","completed"
20,4,"2025-03-22","fashion","260.00","completed"
21,17,"2025-04-01","electronics","1300.00","completed"
22,18,"2025-04-04","home","500.00","completed"
23,19,"2025-04-07","beauty","110.00","completed"
24,20,"2025-04-11","fashion","330.00","completed"
25,21,"2025-04-15","electronics","2200.00","completed"
26,22,"2025-04-18","home","450.00","completed"
27,23,"2025-05-02","fashion","310.00","completed"
28,24,"2025-05-05","electronics","1900.00","completed"
29,25,"2025-05-08","beauty","160.00","completed"
30,26,"2025-05-12","home","540.00","completed"
31,27,"2025-05-16","fashion","280.00","completed"
32,28,"2025-05-20","electronics","2500.00","completed"
33,29,"2025-06-01","home","610.00","completed"
34,30,"2025-06-04","beauty","150.00","completed"
35,1,"2025-06-08","electronics","1400.00","completed"
36,2,"2025-06-10","fashion","270.00","completed"
37,3,"2025-06-12","home","480.00","completed"
38,4,"2025-06-15","electronics","1600.00","completed"
39,5,"2025-07-01","beauty","130.00","completed"
40,6,"2025-07-03","fashion","320.00","completed"
41,7,"2025-07-06","home","690.00","completed"
42,8,"2025-07-09","electronics","2300.00","completed"
43,9,"2025-07-13","fashion","260.00","completed"
44,10,"2025-07-17","home","530.00","completed"
45,11,"2025-08-01","electronics","1750.00","completed"
46,12,"2025-08-05","beauty","140.00","completed"
47,13,"2025-08-08","fashion","350.00","completed"
48,14,"2025-08-11","home","710.00","completed"
49,15,"2025-08-15","electronics","2600.00","completed"
50,16,"2025-09-01","home","640.00","completed"
51,17,"2025-09-04","fashion","300.00","completed"
52,18,"2025-09-08","electronics","2100.00","completed"
53,19,"2025-09-12","beauty","120.00","completed"
54,20,"2025-09-16","home","580.00","completed"
55,21,"2025-10-01","electronics","2400.00","completed"
56,22,"2025-10-04","fashion","330.00","completed"
57,23,"2025-10-08","home","520.00","completed"
58,24,"2025-10-12","electronics","2000.00","completed"
59,25,"2025-10-16","beauty","170.00","completed"
60,26,"2025-11-02","fashion","310.00","completed"
61,27,"2025-11-06","electronics","2800.00","completed"
62,28,"2025-11-10","home","760.00","completed"
63,29,"2025-11-15","beauty","150.00","completed"
64,30,"2025-11-18","fashion","340.00","completed"
65,1,"2025-12-01","electronics","3000.00","completed"
66,2,"2025-12-04","home","620.00","completed"
67,3,"2025-12-08","fashion","290.00","completed"
68,4,"2025-12-12","beauty","180.00","completed"
