Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue,Year,Month,YearMonth,DayOfWeek,Hour
537618,22423,REGENCY CAKESTAND 3 TIER,1,2010-01-01 12:31:00,12.22,12670,United Kingdom,12.22,2010,1,2010-01,4,12
537618,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2010-01-01 12:31:00,3.62,12670,United Kingdom,3.62,2010,1,2010-01,4,12
537618,22727,ALARM CLOCK BAKELIKE RED,9,2010-01-01 12:31:00,3.53,12670,United Kingdom,31.77,2010,1,2010-01,4,12
537618,22198,SMALL HEART FLOWERS HOOK,3,2010-01-01 12:31:00,0.93,12670,United Kingdom,2.79,2010,1,2010-01,4,12
536478,71053,WHITE METAL LANTERN,21,2010-01-01 14:12:00,3.3,12364,United Kingdom,69.3,2010,1,2010-01,4,14
537912,22622,BOX OF VINTAGE ALPHABET BLOCKS,17,2010-01-02 13:22:00,5.44,12628,Germany,92.48,2010,1,2010-01,5,13
537912,21212,PACK OF 72 RETROSPOT CAKE CASES,49,2010-01-02 13:22:00,0.58,12628,Germany,28.419999999999998,2010,1,2010-01,5,13
537109,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2,2010-01-02 13:30:00,3.73,12437,United Kingdom,7.46,2010,1,2010-01,5,13
537953,22633,HAND WARMER UNION JACK,3,2010-01-02 15:35:00,1.76,12821,United Kingdom,5.28,2010,1,2010-01,5,15
537953,22835,HOT WATER BOTTLE I AM SO POORLY,2,2010-01-02 15:35:00,4.94,12821,United Kingdom,9.88,2010,1,2010-01,5,15
537953,20727,LUNCH BAG BLACK SKULL,8,2010-01-02 15:35:00,1.53,12821,United Kingdom,12.24,2010,1,2010-01,5,15
537281,21755,LOVE BUILDING BLOCK WORD,1,2010-01-03 15:35:00,6.41,12543,United Kingdom,6.41,2010,1,2010-01,6,15
537138,21755,LOVE BUILDING BLOCK WORD,19,2010-01-04 09:55:00,6.12,12616,United Kingdom,116.28,2010,1,2010-01,0,9
